id,M,P,NP,user,system,elapsed
1,4000,5000,1,0.91,0.28,1.67
2,4000,5000,1,0.93,0.25,1.60
3,4000,5000,1,0.92,0.26,1.61
4,4000,5000,1,0.92,0.26,1.60
5,4000,5000,1,0.92,0.25,1.60
6,4000,5000,1,0.92,0.25,1.59
7,4000,5000,1,0.92,0.26,1.60
8,4000,5000,1,0.91,0.26,1.60
9,4000,5000,1,0.92,0.25,1.60
10,4000,5000,1,0.91,0.26,1.60
11,4000,5000,1,0.93,0.24,1.59
12,4000,5000,1,0.92,0.26,1.61
13,4000,5000,1,0.93,0.24,1.60
14,4000,5000,1,0.91,0.26,1.60
15,4000,5000,1,0.92,0.25,1.60
16,4000,5000,1,0.92,0.26,1.61
17,4000,5000,1,1.01,0.26,1.69
18,4000,5000,1,0.93,0.25,1.59
19,4000,5000,1,0.92,0.26,1.60
20,4000,5000,1,0.92,0.25,1.60
21,4000,5000,2,1.12,0.45,1.46
22,4000,5000,2,1.14,0.43,1.46
23,4000,5000,2,1.13,0.44,1.46
24,4000,5000,2,1.14,0.43,1.46
25,4000,5000,2,1.12,0.44,1.45
26,4000,5000,2,1.15,0.43,1.47
27,4000,5000,2,1.12,0.44,1.45
28,4000,5000,2,1.13,0.45,1.46
29,4000,5000,2,1.12,0.45,1.46
30,4000,5000,2,1.14,0.44,1.47
31,4000,5000,2,1.13,0.44,1.46
32,4000,5000,2,1.12,0.44,1.46
33,4000,5000,2,1.12,0.45,1.45
34,4000,5000,2,1.13,0.43,1.45
35,4000,5000,2,1.14,0.43,1.45
36,4000,5000,2,1.14,0.42,1.45
37,4000,5000,2,1.14,0.42,1.44
38,4000,5000,2,1.12,0.44,1.45
39,4000,5000,2,1.13,0.44,1.46
40,4000,5000,2,1.14,0.44,1.48
41,4000,5000,4,1.71,0.80,1.41
42,4000,5000,4,1.69,0.80,1.50
43,4000,5000,4,1.68,0.80,1.41
44,4000,5000,4,1.71,0.79,1.41
45,4000,5000,4,1.69,0.79,1.40
46,4000,5000,4,1.72,0.78,1.41
47,4000,5000,4,1.73,0.80,1.42
48,4000,5000,4,1.73,0.78,1.41
49,4000,5000,4,1.72,0.78,1.41
50,4000,5000,4,1.70,0.79,1.49
51,4000,5000,4,1.66,0.81,1.41
52,4000,5000,4,1.72,0.78,1.50
53,4000,5000,4,1.71,0.79,1.51
54,4000,5000,4,1.69,0.81,1.41
55,4000,5000,4,1.72,0.78,1.50
56,4000,5000,4,1.70,0.79,1.42
57,4000,5000,4,1.69,0.79,1.41
58,4000,5000,4,1.67,0.80,1.40
59,4000,5000,4,1.70,0.80,1.41
60,4000,5000,4,1.69,0.80,1.49
61,4000,5000,14,7.67,2.34,2.11
62,4000,5000,14,8.04,2.24,2.13
63,4000,5000,14,8.16,2.25,2.15
64,4000,5000,14,7.91,2.29,2.12
65,4000,5000,14,7.82,2.30,2.11
66,4000,5000,14,6.93,2.44,2.41
67,4000,5000,14,8.04,2.27,2.15
68,4000,5000,14,7.97,2.26,2.12
69,4000,5000,14,7.98,2.30,2.11
70,4000,5000,14,7.68,2.28,2.12
71,4000,5000,14,8.18,2.29,2.13
72,4000,5000,14,7.91,2.27,2.18
73,4000,5000,14,7.64,2.16,2.12
74,4000,5000,14,7.65,2.19,2.12
75,4000,5000,14,7.84,2.26,2.14
76,4000,5000,14,8.10,2.15,2.13
77,4000,5000,14,7.46,2.28,2.13
78,4000,5000,14,7.53,2.34,2.16
79,4000,5000,14,7.64,2.19,2.12
80,4000,5000,14,7.59,2.23,2.12
81,4000,5000,28,21.26,4.42,3.33
82,4000,5000,28,22.58,4.50,3.34
83,4000,5000,28,24.84,4.45,3.34
84,4000,5000,28,23.43,4.53,3.34
85,4000,5000,28,27.61,4.36,3.38
86,4000,5000,28,25.45,4.47,3.41
87,4000,5000,28,25.22,4.44,3.35
88,4000,5000,28,22.53,4.52,3.34
89,4000,5000,28,21.86,4.54,3.33
90,4000,5000,28,26.52,4.50,3.35
91,4000,5000,28,23.36,4.41,3.33
92,4000,5000,28,22.85,4.51,3.37
93,4000,5000,28,23.46,4.63,3.36
94,4000,5000,28,23.12,4.54,3.28
95,4000,5000,28,27.64,4.51,3.44
96,4000,5000,28,24.01,4.48,3.35
97,4000,5000,28,22.61,4.50,3.36
98,4000,5000,28,23.62,4.58,3.38
99,4000,5000,28,23.45,4.54,3.35
100,4000,5000,28,24.18,4.47,3.29
101,4000,5000,56,0.03,0.06,0.12
102,4000,5000,56,0.04,0.04,0.11
103,4000,5000,56,0.03,0.05,0.11
104,4000,5000,56,0.03,0.05,0.11
105,4000,5000,56,0.03,0.04,0.11
106,4000,5000,56,0.02,0.06,0.11
107,4000,5000,56,0.03,0.04,0.11
108,4000,5000,56,0.03,0.05,0.11
109,4000,5000,56,0.03,0.05,0.11
110,4000,5000,56,0.03,0.04,0.11
111,4000,5000,56,0.03,0.04,0.11
112,4000,5000,56,0.03,0.05,0.11
113,4000,5000,56,0.03,0.05,0.11
114,4000,5000,56,0.03,0.04,0.11
115,4000,5000,56,0.03,0.05,0.11
116,4000,5000,56,0.03,0.05,0.11
117,4000,5000,56,0.03,0.05,0.11
118,4000,5000,56,0.03,0.05,0.11
119,4000,5000,56,0.03,0.04,0.11
120,4000,5000,56,0.03,0.05,0.11
121,5000,5000,1,1.17,0.26,1.86
122,5000,5000,1,1.17,0.27,1.86
123,5000,5000,1,1.17,0.27,1.86
124,5000,5000,1,1.17,0.27,1.86
125,5000,5000,1,1.17,0.26,1.86
126,5000,5000,1,1.18,0.26,1.86
127,5000,5000,1,1.18,0.26,1.86
128,5000,5000,1,1.18,0.26,1.87
129,5000,5000,1,1.17,0.26,1.86
130,5000,5000,1,1.18,0.26,1.86
131,5000,5000,1,1.17,0.27,1.86
132,5000,5000,1,1.17,0.27,1.86
133,5000,5000,1,1.17,0.27,1.86
134,5000,5000,1,1.17,0.28,1.86
135,5000,5000,1,1.17,0.27,1.86
136,5000,5000,1,1.17,0.26,1.86
137,5000,5000,1,1.16,0.27,1.86
138,5000,5000,1,1.16,0.27,1.86
139,5000,5000,1,1.16,0.27,1.86
140,5000,5000,1,1.17,0.27,1.86
141,5000,5000,2,1.35,0.46,1.58
142,5000,5000,2,1.33,0.47,1.40
143,5000,5000,2,1.33,0.46,1.56
144,5000,5000,2,1.32,0.48,1.59
145,5000,5000,2,1.33,0.46,1.56
146,5000,5000,2,1.34,0.47,1.58
147,5000,5000,2,1.34,0.46,1.57
148,5000,5000,2,1.32,0.47,1.56
149,5000,5000,2,1.36,0.45,1.57
150,5000,5000,2,1.33,0.46,1.56
151,5000,5000,2,1.36,0.45,1.59
152,5000,5000,2,1.35,0.45,1.57
153,5000,5000,2,1.33,0.48,1.58
154,5000,5000,2,1.33,0.47,1.57
155,5000,5000,2,1.33,0.47,1.56
156,5000,5000,2,1.32,0.47,1.57
157,5000,5000,2,1.34,0.46,1.59
158,5000,5000,2,1.32,0.47,1.56
159,5000,5000,2,1.36,0.44,1.57
