id,M,P,NP,user,system,elapsed
1,50000,5000,28,22.22,25.24,5.41
2,50000,5000,28,20.33,24.30,4.55
3,50000,5000,28,21.35,24.35,4.56
4,50000,5000,28,24.28,25.20,4.93
5,50000,5000,28,25.43,25.21,4.88
6,50000,5000,56,49.70,56.95,7.16
7,50000,5000,56,55.64,56.86,7.24
8,50000,5000,56,66.89,56.64,7.30
9,50000,5000,56,105.40,58.72,8.23
10,50000,5000,56,59.14,56.77,7.29
11,50000,5000,84,48.91,56.07,7.11
12,50000,5000,84,44.01,59.07,7.05
13,50000,5000,84,55.73,55.84,7.21
14,50000,5000,84,48.34,57.06,7.08
15,50000,5000,84,72.94,53.04,7.70
16,50000,5000,112,50.80,57.28,7.14
17,50000,5000,112,59.55,54.51,7.37
18,50000,5000,112,52.77,55.83,7.30
19,50000,5000,112,88.63,52.04,7.78
20,50000,5000,112,47.85,53.62,7.13
21,50000,5000,140,42.33,56.11,7.08
22,50000,5000,140,47.22,54.21,7.04
23,50000,5000,140,44.20,56.47,7.03
24,50000,5000,140,59.86,57.33,7.34
25,50000,5000,140,59.37,57.64,7.23
26,50000,5000,168,93.38,55.38,7.88
27,50000,5000,168,71.47,53.84,7.42
28,50000,5000,168,51.31,55.53,7.21
29,50000,5000,168,47.40,55.22,7.14
30,50000,5000,168,44.24,55.42,7.05
31,50000,5000,224,44.93,53.88,7.13
32,50000,5000,224,42.18,57.33,7.10
33,50000,5000,224,37.08,53.60,7.04
34,50000,5000,224,45.55,55.15,7.14
35,50000,5000,224,41.40,54.47,7.05
36,50000,5000,280,52.46,57.55,7.38
37,50000,5000,280,58.70,57.19,7.36
38,50000,5000,280,44.31,52.98,7.01
39,50000,5000,280,48.58,55.52,7.42
40,50000,5000,280,43.01,53.59,7.14
