id,M,P,NP,user,system,elapsed
1,4000,5000,1,0.23,0.06,0.29
2,4000,5000,1,0.23,0.05,0.29
3,4000,5000,1,0.23,0.05,0.29
4,4000,5000,1,0.23,0.05,0.29
5,4000,5000,1,0.23,0.05,0.28
6,4000,5000,1,0.23,0.05,0.28
7,4000,5000,1,0.23,0.05,0.29
8,4000,5000,1,0.23,0.04,0.28
9,4000,5000,1,0.23,0.05,0.28
10,4000,5000,1,0.23,0.05,0.29
11,4000,5000,1,0.23,0.05,0.29
12,4000,5000,1,0.23,0.04,0.28
13,4000,5000,1,0.23,0.05,0.28
14,4000,5000,1,0.23,0.05,0.28
15,4000,5000,1,0.23,0.04,0.28
16,4000,5000,1,0.23,0.04,0.27
17,4000,5000,1,0.23,0.05,0.29
18,4000,5000,1,0.23,0.05,0.28
19,4000,5000,1,0.23,0.05,0.29
20,4000,5000,1,0.23,0.05,0.29
21,4000,5000,2,0.27,0.05,0.16
22,4000,5000,2,0.27,0.04,0.16
23,4000,5000,2,0.27,0.05,0.16
24,4000,5000,2,0.27,0.05,0.16
25,4000,5000,2,0.27,0.04,0.16
26,4000,5000,2,0.26,0.05,0.16
27,4000,5000,2,0.26,0.05,0.16
28,4000,5000,2,0.26,0.05,0.16
29,4000,5000,2,0.26,0.05,0.16
30,4000,5000,2,0.26,0.05,0.16
31,4000,5000,2,0.26,0.05,0.16
32,4000,5000,2,0.27,0.04,0.16
33,4000,5000,2,0.27,0.04,0.16
34,4000,5000,2,0.27,0.04,0.16
35,4000,5000,2,0.26,0.05,0.16
36,4000,5000,2,0.27,0.05,0.16
37,4000,5000,2,0.27,0.04,0.16
38,4000,5000,2,0.27,0.04,0.16
39,4000,5000,2,0.27,0.04,0.16
40,4000,5000,2,0.26,0.05,0.16
41,4000,5000,4,0.34,0.04,0.09
42,4000,5000,4,0.33,0.05,0.10
43,4000,5000,4,0.34,0.04,0.10
44,4000,5000,4,0.34,0.04,0.10
45,4000,5000,4,0.34,0.05,0.10
46,4000,5000,4,0.34,0.05,0.10
47,4000,5000,4,0.34,0.04,0.09
48,4000,5000,4,0.34,0.04,0.09
49,4000,5000,4,0.34,0.05,0.10
50,4000,5000,4,0.34,0.04,0.10
51,4000,5000,4,0.34,0.05,0.10
52,4000,5000,4,0.34,0.04,0.09
53,4000,5000,4,0.33,0.05,0.09
54,4000,5000,4,0.33,0.05,0.10
55,4000,5000,4,0.34,0.04,0.09
56,4000,5000,4,0.34,0.05,0.10
57,4000,5000,4,0.34,0.05,0.10
58,4000,5000,4,0.34,0.05,0.10
59,4000,5000,4,0.34,0.04,0.10
60,4000,5000,4,0.34,0.04,0.09
61,4000,5000,14,0.89,0.07,0.07
62,4000,5000,14,0.88,0.06,0.07
63,4000,5000,14,0.86,0.07,0.06
64,4000,5000,14,0.88,0.05,0.06
65,4000,5000,14,0.87,0.05,0.06
66,4000,5000,14,0.87,0.05,0.06
67,4000,5000,14,0.88,0.05,0.06
68,4000,5000,14,0.87,0.05,0.06
69,4000,5000,14,0.87,0.06,0.06
70,4000,5000,14,0.88,0.05,0.06
71,4000,5000,14,0.86,0.06,0.06
72,4000,5000,14,0.86,0.05,0.06
73,4000,5000,14,0.86,0.06,0.06
74,4000,5000,14,0.86,0.07,0.06
75,4000,5000,14,0.88,0.07,0.07
76,4000,5000,14,0.88,0.05,0.06
77,4000,5000,14,0.88,0.07,0.07
78,4000,5000,14,0.87,0.06,0.07
79,4000,5000,14,0.90,0.04,0.07
80,4000,5000,14,0.88,0.05,0.06
81,4000,5000,28,2.42,0.07,0.09
82,4000,5000,28,2.38,0.10,0.09
83,4000,5000,28,2.44,0.08,0.09
84,4000,5000,28,2.41,0.10,0.09
85,4000,5000,28,2.49,0.10,0.09
86,4000,5000,28,2.42,0.07,0.09
87,4000,5000,28,2.46,0.11,0.09
88,4000,5000,28,2.40,0.07,0.09
89,4000,5000,28,2.42,0.14,0.09
90,4000,5000,28,2.38,0.15,0.09
91,4000,5000,28,2.48,0.07,0.09
92,4000,5000,28,2.45,0.05,0.09
93,4000,5000,28,2.45,0.14,0.09
94,4000,5000,28,2.39,0.11,0.09
95,4000,5000,28,2.59,0.08,0.09
96,4000,5000,28,2.45,0.12,0.09
97,4000,5000,28,2.36,0.12,0.09
98,4000,5000,28,2.31,0.10,0.08
99,4000,5000,28,2.36,0.07,0.08
100,4000,5000,28,2.48,0.11,0.09
101,4000,5000,56,8.43,0.28,0.15
102,4000,5000,56,9.20,0.23,0.17
103,4000,5000,56,8.01,0.30,0.15
104,4000,5000,56,8.09,0.21,0.15
105,4000,5000,56,8.35,0.18,0.15
106,4000,5000,56,9.67,0.25,0.18
107,4000,5000,56,8.94,0.18,0.16
108,4000,5000,56,10.43,0.22,0.19
109,4000,5000,56,9.20,0.28,0.17
110,4000,5000,56,13.05,0.32,0.24
111,4000,5000,56,14.70,0.25,0.28
112,4000,5000,56,13.53,0.20,0.25
113,4000,5000,56,11.44,0.25,0.21
114,4000,5000,56,9.74,0.20,0.18
115,4000,5000,56,20.26,0.24,0.38
116,4000,5000,56,14.01,0.30,0.26
117,4000,5000,56,10.31,0.26,0.19
118,4000,5000,56,11.42,0.17,0.21
119,4000,5000,56,14.00,0.26,0.26
120,4000,5000,56,9.54,0.14,0.18
121,5000,5000,1,0.28,0.05,0.34
122,5000,5000,1,0.28,0.06,0.34
123,5000,5000,1,0.28,0.07,0.36
124,5000,5000,1,0.29,0.06,0.35
125,5000,5000,1,0.28,0.06,0.35
126,5000,5000,1,0.29,0.05,0.35
127,5000,5000,1,0.28,0.06,0.34
128,5000,5000,1,0.28,0.06,0.35
129,5000,5000,1,0.28,0.07,0.35
130,5000,5000,1,0.28,0.07,0.35
131,5000,5000,1,0.28,0.07,0.35
132,5000,5000,1,0.28,0.06,0.35
133,5000,5000,1,0.28,0.06,0.35
134,5000,5000,1,0.28,0.07,0.35
135,5000,5000,1,0.28,0.07,0.35
136,5000,5000,1,0.28,0.06,0.35
137,5000,5000,1,0.28,0.07,0.35
138,5000,5000,1,0.29,0.06,0.35
139,5000,5000,1,0.28,0.07,0.35
140,5000,5000,1,0.29,0.05,0.34
141,5000,5000,2,0.33,0.06,0.20
142,5000,5000,2,0.33,0.06,0.19
143,5000,5000,2,0.33,0.06,0.20
144,5000,5000,2,0.33,0.06,0.19
145,5000,5000,2,0.33,0.06,0.20
146,5000,5000,2,0.33,0.06,0.19
147,5000,5000,2,0.33,0.06,0.19
148,5000,5000,2,0.34,0.05,0.20
149,5000,5000,2,0.33,0.06,0.19
150,5000,5000,2,0.33,0.06,0.20
151,5000,5000,2,0.33,0.05,0.19
152,5000,5000,2,0.33,0.05,0.19
153,5000,5000,2,0.33,0.05,0.19
154,5000,5000,2,0.33,0.05,0.19
155,5000,5000,2,0.33,0.05,0.19
156,5000,5000,2,0.33,0.05,0.19
157,5000,5000,2,0.33,0.06,0.19
158,5000,5000,2,0.32,0.06,0.19
159,5000,5000,2,0.34,0.05,0.20
160,5000,5000,2,0.33,0.05,0.19
161,5000,5000,4,0.40,0.06,0.11
162,5000,5000,4,0.40,0.06,0.11
163,5000,5000,4,0.40,0.06,0.11
164,5000,5000,4,0.40,0.05,0.11
165,5000,5000,4,0.40,0.05,0.11
166,5000,5000,4,0.40,0.05,0.11
167,5000,5000,4,0.40,0.05,0.11
168,5000,5000,4,0.40,0.05,0.11
169,5000,5000,4,0.40,0.06,0.11
170,5000,5000,4,0.40,0.06,0.11
171,5000,5000,4,0.40,0.05,0.11
172,5000,5000,4,0.40,0.06,0.11
173,5000,5000,4,0.40,0.06,0.11
174,5000,5000,4,0.39,0.06,0.11
175,5000,5000,4,0.40,0.05,0.11
176,5000,5000,4,0.40,0.05,0.11
177,5000,5000,4,0.40,0.05,0.11
178,5000,5000,4,0.40,0.06,0.11
179,5000,5000,4,0.40,0.05,0.11
180,5000,5000,4,0.40,0.06,0.11
181,5000,5000,14,0.90,0.09,0.07
182,5000,5000,14,0.90,0.10,0.07
183,5000,5000,14,0.95,0.07,0.07
184,5000,5000,14,0.96,0.06,0.07
185,5000,5000,14,0.92,0.08,0.07
186,5000,5000,14,0.93,0.08,0.07
187,5000,5000,14,0.95,0.08,0.07
188,5000,5000,14,0.91,0.06,0.07
189,5000,5000,14,0.93,0.07,0.07
190,5000,5000,14,0.93,0.07,0.07
191,5000,5000,14,0.95,0.06,0.07
192,5000,5000,14,0.94,0.06,0.07
193,5000,5000,14,0.91,0.08,0.07
194,5000,5000,14,0.92,0.08,0.07
195,5000,5000,14,0.95,0.05,0.07
196,5000,5000,14,0.92,0.07,0.07
197,5000,5000,14,0.95,0.07,0.07
198,5000,5000,14,0.92,0.08,0.07
199,5000,5000,14,0.93,0.07,0.07
200,5000,5000,14,0.92,0.08,0.07
201,5000,5000,28,2.62,0.14,0.10
202,5000,5000,28,2.56,0.12,0.09
203,5000,5000,28,2.58,0.18,0.10
204,5000,5000,28,2.54,0.09,0.09
205,5000,5000,28,2.52,0.12,0.09
206,5000,5000,28,2.50,0.13,0.09
207,5000,5000,28,2.52,0.14,0.09
208,5000,5000,28,2.55,0.14,0.09
