id,M,P,NP,user,system,elapsed
1,4000,5000,1,0.25,0.06,0.31
2,4000,5000,1,0.25,0.05,0.30
3,4000,5000,1,0.25,0.05,0.30
4,4000,5000,1,0.25,0.04,0.30
5,4000,5000,1,0.25,0.04,0.30
6,4000,5000,1,0.25,0.04,0.30
7,4000,5000,1,0.25,0.06,0.31
8,4000,5000,1,0.25,0.04,0.30
9,4000,5000,1,0.25,0.05,0.31
10,4000,5000,1,0.25,0.05,0.31
11,4000,5000,1,0.25,0.05,0.31
12,4000,5000,1,0.25,0.05,0.31
13,4000,5000,1,0.25,0.05,0.31
14,4000,5000,1,0.25,0.05,0.31
15,4000,5000,1,0.25,0.05,0.30
16,4000,5000,1,0.25,0.04,0.30
17,4000,5000,1,0.25,0.05,0.30
18,4000,5000,1,0.25,0.05,0.30
19,4000,5000,1,0.25,0.04,0.30
20,4000,5000,1,0.25,0.05,0.30
21,4000,5000,2,0.33,0.07,0.23
22,4000,5000,2,0.35,0.08,0.25
23,4000,5000,2,0.31,0.09,0.22
24,4000,5000,2,0.32,0.10,0.24
25,4000,5000,2,0.36,0.08,0.25
26,4000,5000,2,0.33,0.08,0.23
27,4000,5000,2,0.35,0.08,0.25
28,4000,5000,2,0.33,0.07,0.23
29,4000,5000,2,0.34,0.08,0.23
30,4000,5000,2,0.33,0.09,0.24
31,4000,5000,2,0.35,0.08,0.25
32,4000,5000,2,0.31,0.08,0.22
33,4000,5000,2,0.35,0.08,0.26
34,4000,5000,2,0.33,0.08,0.23
35,4000,5000,2,0.35,0.09,0.25
36,4000,5000,2,0.33,0.07,0.22
37,4000,5000,2,0.35,0.08,0.25
38,4000,5000,2,0.32,0.08,0.22
39,4000,5000,2,0.32,0.10,0.24
40,4000,5000,2,0.30,0.08,0.19
41,4000,5000,4,0.57,0.11,0.22
42,4000,5000,4,0.51,0.13,0.21
43,4000,5000,4,0.51,0.11,0.19
44,4000,5000,4,0.48,0.12,0.19
45,4000,5000,4,0.51,0.11,0.19
46,4000,5000,4,0.49,0.11,0.19
47,4000,5000,4,0.50,0.12,0.19
48,4000,5000,4,0.55,0.13,0.22
49,4000,5000,4,0.55,0.12,0.22
50,4000,5000,4,0.52,0.11,0.20
51,4000,5000,4,0.52,0.11,0.19
52,4000,5000,4,0.50,0.13,0.20
53,4000,5000,4,0.49,0.12,0.19
54,4000,5000,4,0.49,0.12,0.19
55,4000,5000,4,0.50,0.11,0.19
56,4000,5000,4,0.49,0.12,0.19
57,4000,5000,4,0.48,0.13,0.19
58,4000,5000,4,0.47,0.14,0.19
59,4000,5000,4,0.54,0.13,0.21
60,4000,5000,4,0.48,0.13,0.20
61,4000,5000,14,1.45,0.44,0.24
62,4000,5000,14,1.55,0.44,0.25
63,4000,5000,14,1.55,0.45,0.26
64,4000,5000,14,1.51,0.49,0.25
65,4000,5000,14,1.56,0.47,0.26
