id,M,P,NP,user,system,elapsed
1,4000,5000,1,0.51,0.32,1.84
2,4000,5000,1,0.50,0.30,1.07
3,4000,5000,1,0.50,0.30,1.06
4,4000,5000,1,0.51,0.29,1.07
5,4000,5000,1,0.50,0.30,1.06
6,4000,5000,1,0.49,0.30,1.03
7,4000,5000,1,0.50,0.30,1.05
8,4000,5000,1,0.50,0.29,1.04
9,4000,5000,1,0.50,0.29,1.05
10,4000,5000,1,0.51,0.28,1.05
11,4000,5000,1,0.50,0.29,1.06
12,4000,5000,1,0.50,0.31,1.05
13,4000,5000,1,0.50,0.29,1.05
14,4000,5000,1,0.52,0.28,1.07
15,4000,5000,1,0.50,0.30,1.21
16,4000,5000,1,0.49,0.30,1.04
17,4000,5000,1,0.51,0.28,1.04
18,4000,5000,1,0.49,0.30,1.03
19,4000,5000,1,0.52,0.28,1.04
20,4000,5000,1,0.51,0.29,1.05
21,4000,5000,2,2.36,0.67,1.85
22,4000,5000,2,2.32,0.69,2.07
23,4000,5000,2,2.33,0.69,1.92
24,4000,5000,2,2.30,0.72,1.83
25,4000,5000,2,2.36,0.69,2.15
26,4000,5000,2,2.34,0.70,2.08
27,4000,5000,2,2.38,0.67,2.02
28,4000,5000,2,2.32,0.66,1.94
29,4000,5000,2,2.34,0.69,2.08
30,4000,5000,2,2.33,0.69,1.94
31,4000,5000,2,2.32,0.70,1.87
32,4000,5000,2,2.33,0.73,2.08
33,4000,5000,2,2.30,0.72,1.86
34,4000,5000,2,2.37,0.70,1.95
35,4000,5000,2,2.38,0.66,1.87
36,4000,5000,2,2.33,0.71,1.95
37,4000,5000,2,2.34,0.71,1.87
38,4000,5000,2,2.34,0.68,1.94
39,4000,5000,2,2.29,0.70,1.93
40,4000,5000,2,2.41,0.74,2.01
41,4000,5000,4,5.27,5.81,2.23
42,4000,5000,4,5.26,5.81,2.26
43,4000,5000,4,5.01,5.70,2.16
44,4000,5000,4,5.06,5.59,2.20
45,4000,5000,4,5.21,5.74,2.21
46,4000,5000,4,5.44,5.89,2.28
47,4000,5000,4,5.04,5.77,2.16
48,4000,5000,4,5.32,5.80,2.22
49,4000,5000,4,5.29,5.85,2.22
50,4000,5000,4,5.29,5.78,2.22
51,4000,5000,4,5.27,5.81,2.23
52,4000,5000,4,5.09,5.45,2.20
53,4000,5000,4,5.30,5.86,2.22
54,4000,5000,4,5.14,5.65,2.18
55,4000,5000,4,5.29,5.76,2.31
56,4000,5000,4,5.34,5.78,2.37
57,4000,5000,4,5.06,5.85,2.17
58,4000,5000,4,5.40,5.39,2.30
59,4000,5000,4,5.38,5.77,2.23
60,4000,5000,4,5.23,5.82,2.21
61,4000,5000,14,17.08,12.48,3.15
62,4000,5000,14,17.54,12.20,3.14
63,4000,5000,14,17.90,12.32,3.20
64,4000,5000,14,18.26,12.51,3.26
65,4000,5000,14,18.03,11.81,3.12
66,4000,5000,14,17.76,12.23,3.14
67,4000,5000,14,18.59,12.19,3.21
68,4000,5000,14,17.80,12.20,3.16
69,4000,5000,14,18.00,12.12,3.17
70,4000,5000,14,17.30,12.07,3.20
71,4000,5000,14,18.77,12.27,3.29
72,4000,5000,14,18.06,12.44,3.18
73,4000,5000,14,17.48,12.25,3.15
74,4000,5000,14,17.13,12.28,3.22
75,4000,5000,14,17.62,12.23,3.24
76,4000,5000,14,18.42,12.46,3.30
77,4000,5000,14,18.43,12.07,3.25
78,4000,5000,14,18.14,12.17,3.20
79,4000,5000,14,16.83,11.99,3.08
80,4000,5000,14,17.65,12.02,3.10
81,4000,5000,28,38.56,30.04,4.55
82,4000,5000,28,37.90,29.49,4.49
83,4000,5000,28,38.01,30.16,4.50
84,4000,5000,28,37.84,29.80,4.53
85,4000,5000,28,37.53,30.43,4.58
86,4000,5000,28,38.02,30.11,4.55
87,4000,5000,28,39.80,30.16,4.57
88,4000,5000,28,37.83,30.45,4.56
89,4000,5000,28,37.57,29.47,4.54
90,4000,5000,28,37.99,30.42,4.55
91,4000,5000,28,36.12,30.24,4.51
92,4000,5000,28,36.73,29.70,4.52
93,4000,5000,28,39.90,30.82,4.65
94,4000,5000,28,38.19,29.41,4.52
95,4000,5000,28,37.55,30.29,4.57
96,4000,5000,28,39.51,30.93,4.76
97,4000,5000,28,39.53,30.32,4.60
98,4000,5000,28,37.97,29.87,4.60
99,4000,5000,28,38.78,31.19,4.59
100,4000,5000,28,42.96,30.30,4.61
101,4000,5000,56,129.31,75.78,8.42
102,4000,5000,56,128.29,77.13,8.31
103,4000,5000,56,125.42,73.76,8.08
104,4000,5000,56,124.79,74.87,8.10
105,4000,5000,56,118.87,74.86,7.99
106,4000,5000,56,123.37,75.32,8.08
107,4000,5000,56,141.39,70.61,8.34
