id,M,P,NP,user,system,elapsed
1,50000,5000,28,59.23,40.65,10.67
2,50000,5000,28,58.11,37.47,8.26
3,50000,5000,28,61.05,38.41,8.13
4,50000,5000,28,59.91,38.02,8.20
5,50000,5000,28,60.10,37.91,8.31
6,50000,5000,56,157.99,84.27,11.45
7,50000,5000,56,152.33,80.81,11.51
8,50000,5000,56,156.55,86.50,11.94
9,50000,5000,56,167.51,79.70,11.75
10,50000,5000,56,180.73,82.37,11.96
11,50000,5000,84,148.36,81.92,11.62
12,50000,5000,84,153.81,80.12,11.79
13,50000,5000,84,149.00,86.95,11.74
14,50000,5000,84,153.84,81.90,11.78
15,50000,5000,84,149.85,83.80,11.70
16,50000,5000,112,145.53,78.92,11.62
17,50000,5000,112,155.48,77.08,11.48
18,50000,5000,112,197.60,82.38,12.51
19,50000,5000,112,149.35,85.40,11.40
20,50000,5000,112,158.27,83.57,11.63
21,50000,5000,140,149.72,82.68,11.96
22,50000,5000,140,147.63,84.02,12.03
23,50000,5000,140,158.86,78.64,12.05
24,50000,5000,140,151.31,79.79,12.02
25,50000,5000,140,145.11,80.16,12.14
26,50000,5000,168,143.49,76.47,11.78
27,50000,5000,168,155.17,78.07,11.88
28,50000,5000,168,159.26,80.57,11.83
29,50000,5000,168,159.87,77.10,11.84
30,50000,5000,168,146.23,80.88,11.96
31,50000,5000,224,239.46,79.23,13.88
32,50000,5000,224,158.98,79.46,11.63
33,50000,5000,224,182.23,78.17,12.00
34,50000,5000,224,138.03,81.16,11.51
35,50000,5000,224,169.55,79.30,12.09
36,50000,5000,280,179.62,81.69,13.14
37,50000,5000,280,152.82,77.85,11.94
38,50000,5000,280,150.76,78.10,12.10
39,50000,5000,280,143.53,80.66,11.83
40,50000,5000,280,144.43,79.92,11.95
